UniqueID;CICLO;ANIO;SEMESTRE;EDAD;SEXO;PROVINCIA;TIPOCOLEGIO;COLEEXC;COLPRE;COLPRIV;EXADMISION;ESCALA;MODALIDAD;DISTRITO;PROVINCIA;DEPARTAMENTO;DISTANCIA;FILOSOFIA;ACTIVIDADES;LENGUAJE;REALIDADNACIONAL;METODOSDEESTUDIO;INTRODUCCIONINGENIERIA;GEOMETRIAANALITICA;MATEMATICADISCRETA;APROBADO
31;20101;2010;1;18;1;0;PRE-UNIVERSITARIO;0;1;1;0.414;12;CONCURSO ORDINARIO DE ADMISION;LA MOLINA;LIMA;LIMA;3.58;13;18;12;10;12;12;12;12;0
32;20101;2010;1;16;1;0;PRE-UNIVERSITARIO;0;1;1;0.18;14;CONCURSO ORDINARIO DE ADMISION;VENTANILLA;CALLAO;CALLAO;29.473;13;0;10;11;11;9;6;9;0
33;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.291;12;CONCURSO ORDINARIO DE ADMISION;LOS OLIVOS;LIMA;LIMA;19.324;11;13;11;10;11;10;6;10;0
34;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.496;14;CONCURSO ORDINARIO DE ADMISION;LIMA;LIMA;LIMA;9.153;17;16;14;14;14;11;11;15;1
36;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.243;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;15.046;12;12;11;10;10;11;3;4;0
37;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.184;14;CONCURSO ORDINARIO DE ADMISION;LA VICTORIA;LIMA;LIMA;8.346;15;17;13;11;12;13;15;14;1
38;20101;2010;1;20;1;0;ESTATAL;0;0;0;0.267;15;CONCURSO ORDINARIO DE ADMISION;LA VICTORIA;LIMA;LIMA;8.167;14;0;2;9;8;11;11;10;0
39;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.15;13;CONCURSO ORDINARIO DE ADMISION;SURQUILLO;LIMA;LIMA;9.884;10;12;4;8;5;7;2;2;0
40;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.35;14;CONCURSO ORDINARIO DE ADMISION;BARRANCO;LIMA;LIMA;11.912;14;13;12;14;13;14;12;15;1
41;20101;2010;1;20;0;0;PRE-UNIVERSITARIO;0;1;1;0.182;14;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE MIRAFLORES;LIMA;LIMA;12.87;12;13;8;9;8;9;2;4;0
42;20101;2010;1;17;1;0;PRE-UNIVERSITARIO;0;1;1;0.401;14;CONCURSO ORDINARIO DE ADMISION;CHORRILLOS;LIMA;LIMA;14.372;8;3;6;6;3;6;4;5;0
43;20101;2010;1;19;1;0;ESTATAL;0;0;0;0.562;14;CONCURSO ORDINARIO DE ADMISION;CARABAYLLO;LIMA;LIMA;23.438;19;13;16;15;18;16;18;16;1
45;20101;2010;1;17;0;0;ESTATAL;0;0;0;0.256;14;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;7.632;12;14;11;10;9;11;7;8;0
46;20101;2010;1;20;1;0;PRIVADO;0;0;1;0.313;16;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;10.666;13;14;13;14;12;11;13;13;1
47;20101;2010;1;19;1;0;PRIVADO;0;0;1;0.133;15;CONCURSO ORDINARIO DE ADMISION;SAN MIGUEL;LIMA;LIMA;16.959;4;0;2;3;5;1;0;1;0
48;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.222;15;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;6.241;6;8;8;9;4;9;1;2;0
49;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.22;14;CONCURSO ORDINARIO DE ADMISION;LA MOLINA;LIMA;LIMA;4.301;11;9;4;7;2;7;0;2;0
50;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.367;14;CONCURSO ORDINARIO DE ADMISION;SAN MARTIN DE PORRES;LIMA;LIMA;20.781;13;17;13;13;13;10;9;12;0
52;20101;2010;1;18;1;0;PRIVADO;0;0;1;0.464;13;CONCURSO ORDINARIO DE ADMISION;LA MOLINA;LIMA;LIMA;3.58;15;14;12;12;15;12;7;10;0
54;20101;2010;1;17;1;0;PRE-UNIVERSITARIO;0;1;1;0.256;14;CONCURSO ORDINARIO DE ADMISION;SANTIAGO DE SURCO;LIMA;LIMA;11.988;10;-1;8;11;9;10;1;1;0
55;20101;2010;1;20;1;0;PRIVADO;0;0;1;0.302;11;CONCURSO ORDINARIO DE ADMISION;CHORRILLOS;LIMA;LIMA;12.621;13;16;11;14;13;12;6;8;0
56;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.355;13;CONCURSO ORDINARIO DE ADMISION;SANTIAGO DE SURCO;LIMA;LIMA;10.192;12;0;12;6;9;13;12;12;0
57;20101;2010;1;16;1;0;PRE-UNIVERSITARIO;0;1;1;0.242;14;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;9.685;14;12;8;13;10;8;3;6;0
58;20101;2010;1;19;1;0;ESTATAL;0;0;0;0.314;14;CONCURSO ORDINARIO DE ADMISION;SAN MIGUEL;LIMA;LIMA;16.833;13;13;7;7;6;8;3;8;0
59;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.184;14;CONCURSO ORDINARIO DE ADMISION;LIMA;LIMA;LIMA;11.819;9;12;8;9;8;9;1;6;0
60;20101;2010;1;16;1;0;PRIVADO;0;0;1;0.369;14;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;8.721;15;15;10;14;12;13;9;10;0
61;20101;2010;1;18;0;0;PRE-UNIVERSITARIO;0;1;1;0.326;14;CONCURSO ORDINARIO DE ADMISION;SANTA ANITA;LIMA;LIMA;4.641;14;16;12;12;11;11;11;11;1
64;20101;2010;1;18;1;0;PRIVADO;0;0;1;0.286;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;9.141;13;14;9;10;8;11;2;5;0
65;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.305;13;CONCURSO ORDINARIO DE ADMISION;SAN BORJA;LIMA;LIMA;6.002;14;12;9;11;7;13;10;10;0
66;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.306;15;CONCURSO ORDINARIO DE ADMISION;LA MOLINA;LIMA;LIMA;3.166;13;14;9;9;12;10;8;11;0
67;20101;2010;1;20;1;0;ESTATAL;0;0;0;0.394;14;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;6.655;14;13;12;12;14;12;13;16;1
69;20101;2010;1;19;1;0;ESTATAL;0;0;0;0.474;15;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;4.443;14;13;14;12;13;11;17;18;1
70;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.274;12;CONCURSO ORDINARIO DE ADMISION;ATE;LIMA;LIMA;2.064;5;0;2;4;0;4;0;1;0
71;20101;2010;1;17;1;0;PRIVADO;0;0;1;0.379;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;8.292;15;15;12;14;13;12;13;13;1
73;20101;2010;1;19;1;1;PRIVADO;1;0;1;0.266;15;CONCURSO ORDINARIO DE ADMISION;SANTA ANITA;LIMA;LIMA;4.647;11;14;12;10;12;11;11;11;0
74;20101;2010;1;19;0;1;ESTATAL;0;0;0;0.248;12;CONCURSO ORDINARIO DE ADMISION;JESUS MARIA;LIMA;LIMA;11.714;8;8;11;9;6;6;4;4;0
75;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.302;14;CONCURSO ORDINARIO DE ADMISION;SAN BORJA;LIMA;LIMA;6.641;16;12;13;14;14;13;5;9;0
76;20101;2010;1;18;1;0;ESTATAL;0;0;0;0.315;15;CONCURSO ORDINARIO DE ADMISION;VENTANILLA;CALLAO;CALLAO;31.256;9;14;8;11;5;7;4;6;0
77;20101;2010;1;20;1;0;ESTATAL;0;0;0;0.386;15;CONCURSO ORDINARIO DE ADMISION;LA VICTORIA;LIMA;LIMA;9.079;13;16;16;12;10;13;9;13;0
78;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.194;13;CONCURSO ORDINARIO DE ADMISION;SANTIAGO DE SURCO;LIMA;LIMA;8.717;14;14;12;13;11;10;6;8;0
79;20101;2010;1;21;1;0;ESTATAL;0;0;0;0.209;10;CONCURSO ORDINARIO DE ADMISION;LOS OLIVOS;LIMA;LIMA;17.308;0;0;4;7;4;1;0;2;0
80;20101;2010;1;17;1;0;PRIVADO;0;0;1;0.297;15;CONCURSO ORDINARIO DE ADMISION;SAN MARTIN DE PORRES;LIMA;LIMA;10.427;6;0;7;9;7;8;2;5;0
81;20101;2010;1;20;1;0;PRIVADO;0;0;1;0.239;14;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;10.327;13;12;12;11;5;12;2;10;0
82;20101;2010;1;20;1;0;PRIVADO;0;0;1;0.338;15;CONCURSO ORDINARIO DE ADMISION;LIMA;LIMA;LIMA;12.963;14;14;13;13;12;12;1;4;0
83;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.151;14;CONCURSO ORDINARIO DE ADMISION;COMAS;LIMA;LIMA;19.704;11;12;7;9;8;8;4;5;0
84;20101;2010;1;16;0;0;PRIVADO;0;0;1;0.249;15;CONCURSO ORDINARIO DE ADMISION;SAN JUAN DE LURIGANCHO;LIMA;LIMA;10.646;14;12;13;12;12;12;4;6;0
85;20101;2010;1;19;1;0;ESTATAL;0;0;0;0.256;14;CONCURSO ORDINARIO DE ADMISION;SANTA ANITA;LIMA;LIMA;4.641;6;8;6;10;5;6;6;7;0
86;20101;2010;1;20;1;0;ESTATAL;0;0;0;0.285;15;CONCURSO ORDINARIO DE ADMISION;SANTA ANITA;LIMA;LIMA;4.315;10;13;9;9;6;7;0;1;0
87;20101;2010;1;18;0;0;ESTATAL;0;0;0;0.317;15;CONCURSO ORDINARIO DE ADMISION;SAN LUIS;LIMA;LIMA;5.129;15;17;16;13;12;12;12;12;1
88;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.284;14;CONCURSO ORDINARIO DE ADMISION;BREÑA;LIMA;LIMA;12.117;14;14;13;12;11;10;5;8;0
